, Title,Artist(s),Genre,Album,Date Released,Length of Track,Language,Country of Origin (artist(s)),Rating,Review,Race of Artist(s) ,Gender of Artist(s)
72,Ballin',PARTYNEXTDOOR,Alternative RnB,PARTYNEXTDOOR,"July 1, 2013",3:13,English,United States,5.0/10,First of all ewww what is that chorus???? Like hello. But more importantly it just sounds regular.,Black,Male
73,Y Yo Me Le Pego,Bellakath & Profeta Yao Yao & Smi-Lee,Reggaeton & Dembow,Y Yo Me Le Pego,"May 5, 2023",2:53,Spanish,Mexico ,7.5/10,Pretty standard dembow/reggaeton track which is a style that produces music better on average in my opinion. ,White & Mixed,Female & Male & Male
74,Perro Fiel (feat. Nicky Jam),Shakira & Nicky Jam,Reggaeton & Latin Pop,El Dorado,"May 26, 2017",3:15,Spanish,Puerto Rico & Colombia,8.0/10,IDK why Nicky Jam had to be a trumper smh moron. He makes solid music this track was good. ,Mixed,Female & Male
75,2:12 AM,Rauw Alejandro & LATIN MAFIA,Rock & Latin Pop,Cosa Nuestra,"November 15, 2024",3:32,Spanish,Puerto Rico & Mexico,5.5/10,Was an alright song,White & Mixed,Male & Male & Male & Male
76,Espresso Martini,Rauw Alejandro & Marconi Impara & Yan Block,Reggaeton & Latin Pop,Cosa Nuestra,"November 15, 2024",3:11,Spanish,Puerto Rico,6.9/10,Dude's voice is intense but he was sliding and it's unique so I can't even be mad fr. Solid song though.,Mixed & Black,Male & Male & Male
77,Mil Mujeres,Rauw Alejandro,Reggaeton & Latin Pop,Cosa Nuestra,"November 15, 2024",2:49,Spanish,Puerto Rico,6.5/10,This beat is giving cartoony ICL like someone just decided to start playing on the beat but it works. The double voice chunks are cool. It's also reminding me of another song that I can't put my finger on.,Mixed,Male
78,2/Catorce,Rauw Alejandro & Mr. Naisgai,Latin Pop & RnB ,VICE VERSA,"February 14, 2021",3:26,Spanish,Puerto Rico,4.4/10,"Even tho the track came out on the best day of the year, I am not really vibing with it in the slightest. ",Mixed & Black,Male & Male
79,Sexo Virtual,Rauw Alejandro ,Reggaeton & Latin Pop,VICE VERSA,"June 25, 2021",3:28,Spanish,Puerto Rico,3.7/10,Has no memorable anything going for it icl. ,Mixed,Male
80,Vigilante Shit,Taylor Swift,Electropop & Industrial Pop & Trap Pop,Midnights (The Til Dawn Edition),"October 21, 2022",2:45,English,United States,6.0/10,"You are NOT Daredevil bud :sob: idk man it wasnt bad, I might even call it good sonically, the lyrics just come off silly. I'd believe it if it came from idk lady gaga or cardi b. ",White,Female
81,I Did Something Bad,Taylor Swift,EDM & Electro-Trap,reputation,"November 10, 2017",3:58,English,United States,8.2/10,"Respectfully, this is the only pocket she needs to be in. ",White,Female
